Day,#,Sum,Average Per Day,Number of Drinkless Days,Total Days Counted
"Wednesday, January 1 ",0,502,1.375342466,221,365
"Thursday, January 2 ",0,,,,
"Friday, January 3 ",0,,,,
"Saturday, January 4 ",3,,,,
"Sunday, January 5 ",0,,,,
"Monday, January 6 ",0,,,,
"Tuesday, January 7 ",0,,,,
"Wednesday, January 8 ",0,,,,
"Thursday, January 9 ",0,,,,
"Friday, January 10 ",0,,,,
"Saturday, January 11 ",0,,,,
"Sunday, January 12 ",0,,,,
"Monday, January 13 ",0,,,,
"Tuesday, January 14 ",0,,,,
"Wednesday, January 15 ",0,,,,
"Thursday, January 16 ",0,,,,
"Friday, January 17 ",4,,,,
"Saturday, January 18 ",5,,,,
"Sunday, January 19 ",0,,,,
"Monday, January 20 ",0,,,,
"Tuesday, January 21 ",0,,,,
"Wednesday, January 22 ",0,,,,
"Thursday, January 23 ",5,,,,
"Friday, January 24 ",4,,,,
"Saturday, January 25 ",3,,,,
"Sunday, January 26 ",4,,,,
"Monday, January 27 ",0,,,,
"Tuesday, January 28 ",0,,,,
"Wednesday, January 29 ",0,,,,
"Thursday, January 30 ",0,,,,
"Friday, January 31 ",4,,,,
"Saturday, February 1 ",0,,,,
"Sunday, February 2 ",3,,,,
"Monday, February 3 ",0,,,,
"Tuesday, February 4 ",1,,,,
"Wednesday, February 5 ",2,,,,
"Thursday, February 6 ",2,,,,
"Friday, February 7 ",3,,,,
"Saturday, February 8 ",4,,,,
"Sunday, February 9 ",4,,,,
"Monday, February 10 ",0,,,,
"Tuesday, February 11 ",0,,,,
"Wednesday, February 12 ",0,,,,
"Thursday, February 13 ",1,,,,
"Friday, February 14 ",0,,,,
"Saturday, February 15 ",1,,,,
"Sunday, February 16 ",0,,,,
"Monday, February 17 ",0,,,,
"Tuesday, February 18 ",0,,,,
"Wednesday, February 19 ",0,,,,
"Thursday, February 20 ",0,,,,
"Friday, February 21 ",0,,,,
"Saturday, February 22 ",0,,,,
"Sunday, February 23 ",3,,,,
"Monday, February 24 ",0,,,,
"Tuesday, February 25 ",0,,,,
"Wednesday, February 26 ",0,,,,
"Thursday, February 27 ",2,,,,
"Friday, February 28 ",3,,,,
"Saturday, March 1 ",4,,,,
"Sunday, March 2 ",2,,,,
"Monday, March 3 ",2,,,,
"Tuesday, March 4 ",0,,,,
"Wednesday, March 5 ",2,,,,
"Thursday, March 6 ",0,,,,
"Friday, March 7 ",1,,,,
"Saturday, March 8 ",2,,,,
"Sunday, March 9 ",3,,,,
"Monday, March 10 ",4,,,,
"Tuesday, March 11 ",3,,,,
"Wednesday, March 12 ",0,,,,
"Thursday, March 13 ",0,,,,
"Friday, March 14 ",0,,,,
"Saturday, March 15 ",0,,,,
"Sunday, March 16 ",0,,,,
"Monday, March 17 ",0,,,,
"Tuesday, March 18 ",0,,,,
"Wednesday, March 19 ",0,,,,
"Thursday, March 20 ",0,,,,
"Friday, March 21 ",0,,,,
"Saturday, March 22 ",2,,,,
"Sunday, March 23 ",0,,,,
"Monday, March 24 ",0,,,,
"Tuesday, March 25 ",0,,,,
"Wednesday, March 26 ",0,,,,
"Thursday, March 27 ",0,,,,
"Friday, March 28 ",3,,,,
"Saturday, March 29 ",4,,,,
"Sunday, March 30 ",0,,,,
"Monday, March 31 ",0,,,,
"Tuesday, April 1 ",0,,,,
"Wednesday, April 2 ",0,,,,
"Thursday, April 3 ",2,,,,
"Friday, April 4 ",0,,,,
